LB	GA	TS	PPSO	DGWO	KBACO	HGNN	DRL	HGA-VNS	GOI-WOA
36	22.22	16.67	11.11	11.11	8.33	44.44	22.22	11.11	8.33
24	58.33	33.33	20.83	20.83	20.83	41.67	29.17	8.33	8.33
204	10.29	3.43	0.0	0.0	0.0	3.92	3.43	0.0	0.0
48	83.33	68.75	37.5	35.42	35.42	52.08	62.5	25.0	25.0
168	16.07	10.71	4.17	4.17	2.98	8.33	8.93	2.98	2.98
33	151.52	160.61	133.33	139.39	103.03	172.73	124.24	84.85	87.88
133	33.83	18.05	9.02	12.03	8.27	49.62	17.29	5.26	4.51
523	3.63	0.0	0.0	0.0	0.0	0.96	0.19	0.0	0.0
299	27.09	23.41	7.02	8.7	4.01	13.71	9.03	2.68	2.68
165	88.48	79.39	44.85	53.33	38.79	59.39	46.06	29.7	27.88
