LB	HAS/SA	FPA	GA	AIA	MILP	HSS	IGAR	GOI-WOA
66	66	66	66	66	66	66	66	66
107	107	107	107	107	107	107	107	107
221	221	221	221	221	221	221	221	221
355	355	355	355	355	355	355	355	355
119	119	119	119	119	119	119	119	119
320	320	320	320	320	320	320	320	320
397	397	397	397	398	397	398	397	397
253	256	253	253	253	253	253	253	253
210	210	210	210	210	210	210	210	210
516	516	516	516	516	516	516	516	516
396	469	469	468	468	468	468	468	468
396	468	446	448	448	446	446	448	446
396	538	470	466	468	466	466	468	466
496	618	554	554	554	564	554	554	554
414	625	516	514	527	514	514	514	514
469	730	636	634	635	635	634	634	634
619	947	879	881	879	935	879	881	879
619	922	884	891	884	905	884	884	884
764	1105	1062	1094	1088	1192	1060	1097	1095
944	1384	1221	1286	1267	1276	1208	1275	1244
